,ReportDate,CrashCount,Year,Month,Day
154,2013/09/02,34,2013,09,02
155,2013/09/03,50,2013,09,03
156,2013/09/04,53,2013,09,04
157,2013/09/05,62,2013,09,05
158,2013/09/06,68,2013,09,06
159,2013/09/07,60,2013,09,07
160,2013/09/08,40,2013,09,08
161,2013/09/09,45,2013,09,09
162,2013/09/10,52,2013,09,10
163,2013/09/11,42,2013,09,11
164,2013/09/12,50,2013,09,12
165,2013/09/13,62,2013,09,13
166,2013/09/14,60,2013,09,14
167,2013/09/15,46,2013,09,15
168,2013/09/16,53,2013,09,16
169,2013/09/17,57,2013,09,17
170,2013/09/18,47,2013,09,18
171,2013/09/19,55,2013,09,19
172,2013/09/20,66,2013,09,20
173,2013/09/21,53,2013,09,21
174,2013/09/22,55,2013,09,22
175,2013/09/23,36,2013,09,23
176,2013/09/24,62,2013,09,24
177,2013/09/25,35,2013,09,25
178,2013/09/26,53,2013,09,26
179,2013/09/27,46,2013,09,27
180,2013/09/28,56,2013,09,28
181,2013/09/29,32,2013,09,29
182,2013/09/30,55,2013,09,30
183,2013/10/01,69,2013,10,01
184,2013/10/02,45,2013,10,02
185,2013/10/03,42,2013,10,03
186,2013/10/04,57,2013,10,04
187,2013/10/05,48,2013,10,05
188,2013/10/06,29,2013,10,06
189,2013/10/07,47,2013,10,07
190,2013/10/08,46,2013,10,08
191,2013/10/09,53,2013,10,09
192,2013/10/10,50,2013,10,10
193,2013/10/11,68,2013,10,11
194,2013/10/12,47,2013,10,12
195,2013/10/13,29,2013,10,13
196,2013/10/14,35,2013,10,14
197,2013/10/15,42,2013,10,15
198,2013/10/16,36,2013,10,16
199,2013/10/17,48,2013,10,17
200,2013/10/18,61,2013,10,18
201,2013/10/19,42,2013,10,19
202,2013/10/20,31,2013,10,20
203,2013/10/21,50,2013,10,21
204,2013/10/22,45,2013,10,22
205,2013/10/23,56,2013,10,23
206,2013/10/24,50,2013,10,24
207,2013/10/25,76,2013,10,25
208,2013/10/26,67,2013,10,26
209,2013/10/27,47,2013,10,27
210,2013/10/28,41,2013,10,28
211,2013/10/29,53,2013,10,29
212,2013/10/30,65,2013,10,30
213,2013/10/31,59,2013,10,31
214,2013/11/01,53,2013,11,01
215,2013/11/02,41,2013,11,02
216,2013/11/03,41,2013,11,03
217,2013/11/04,46,2013,11,04
218,2013/11/05,52,2013,11,05
219,2013/11/06,56,2013,11,06
220,2013/11/07,45,2013,11,07
221,2013/11/08,55,2013,11,08
222,2013/11/09,49,2013,11,09
223,2013/11/10,28,2013,11,10
224,2013/11/11,32,2013,11,11
225,2013/11/12,48,2013,11,12
226,2013/11/13,42,2013,11,13
227,2013/11/14,52,2013,11,14
228,2013/11/15,62,2013,11,15
229,2013/11/16,72,2013,11,16
230,2013/11/17,35,2013,11,17
231,2013/11/18,49,2013,11,18
232,2013/11/19,57,2013,11,19
233,2013/11/20,47,2013,11,20
234,2013/11/21,42,2013,11,21
235,2013/11/22,53,2013,11,22
236,2013/11/23,40,2013,11,23
237,2013/11/24,36,2013,11,24
238,2013/11/25,54,2013,11,25
239,2013/11/26,59,2013,11,26
240,2013/11/27,47,2013,11,27
241,2013/11/28,32,2013,11,28
242,2013/11/29,22,2013,11,29
243,2013/11/30,27,2013,11,30
244,2013/12/01,28,2013,12,01
245,2013/12/02,44,2013,12,02
246,2013/12/03,42,2013,12,03
247,2013/12/04,48,2013,12,04
248,2013/12/05,48,2013,12,05
249,2013/12/06,77,2013,12,06
250,2013/12/07,56,2013,12,07
251,2013/12/08,43,2013,12,08
252,2013/12/09,43,2013,12,09
253,2013/12/10,30,2013,12,10
254,2013/12/11,53,2013,12,11
255,2013/12/12,53,2013,12,12
256,2013/12/13,50,2013,12,13
257,2013/12/14,47,2013,12,14
258,2013/12/15,35,2013,12,15
259,2013/12/16,40,2013,12,16
260,2013/12/17,49,2013,12,17
261,2013/12/18,53,2013,12,18
262,2013/12/19,75,2013,12,19
263,2013/12/20,38,2013,12,20
264,2013/12/21,43,2013,12,21
265,2013/12/22,33,2013,12,22
266,2013/12/23,32,2013,12,23
267,2013/12/24,35,2013,12,24
268,2013/12/25,27,2013,12,25
269,2013/12/26,26,2013,12,26
270,2013/12/27,37,2013,12,27
271,2013/12/28,46,2013,12,28
272,2013/12/29,27,2013,12,29
273,2013/12/30,29,2013,12,30
274,2013/12/31,6,2013,12,31
275,2014/01/01,33,2014,01,01
276,2014/01/02,28,2014,01,02
277,2014/01/03,31,2014,01,03
278,2014/01/04,38,2014,01,04
279,2014/01/05,27,2014,01,05
280,2014/01/06,36,2014,01,06
281,2014/01/07,48,2014,01,07
282,2014/01/08,52,2014,01,08
283,2014/01/09,58,2014,01,09
284,2014/01/10,71,2014,01,10
285,2014/01/11,60,2014,01,11
286,2014/01/12,45,2014,01,12
287,2014/01/13,48,2014,01,13
288,2014/01/14,51,2014,01,14
289,2014/01/15,47,2014,01,15
290,2014/01/16,52,2014,01,16
291,2014/01/17,53,2014,01,17
292,2014/01/18,41,2014,01,18
293,2014/01/19,38,2014,01,19
294,2014/01/20,34,2014,01,20
295,2014/01/21,49,2014,01,21
296,2014/01/22,39,2014,01,22
297,2014/01/23,51,2014,01,23
